,N,Mean,Std,Min,Median,Max,Skewness
구매 여부(Target),433520.0,0.1,0.3000003460053965,0.0,0.0,1.0,2.6666758935020742
마지막 구매 경과일,433520.0,3.100009734962462,28.571253568358095,0.0,0.0,715.0884259259259,12.847004999760497
재구매 준비도,433520.0,0.9525683522224426,0.17133361101150513,0.0,0.9932872653007507,1.0,-4.4794206619262695
구매 후 불응기,433520.0,0.9645001888275146,0.17679037153720856,0.0,1.0,1.0,-4.974423408508301
선호 시간대 일치도,433520.0,0.5673227310180664,0.5244474411010742,0.0,0.3831445276737213,2.0,1.2386813163757324
선호 요일 일치도,433520.0,0.8739578127861023,0.6482499837875366,0.0,0.8996210694313049,2.0,0.2242414653301239
주말 여부,433520.0,0.11497047425724304,0.31898667529954927,0.0,0.0,1.0,2.4140901915953634
주차 정보,433520.0,2.764206957003137,1.3801858741845408,0.0,3.0,5.0,0.18683288322761588
급여일 근접도,433520.0,0.14119383692741394,0.2564203143119812,5.380185921962174e-32,0.002187491161748767,1.0,1.8939343690872192
분기 말 근접도,433520.0,0.15745311975479126,0.3411385118961334,0.0,1.2664165777252073e-14,1.0,1.9581844806671143
마케팅 피로도,433520.0,0.08073567599058151,0.2567084729671478,0.0,0.0,1.8809306621551514,3.1047275066375732
이메일 경과 시간,433520.0,479.7940979003906,1487.174072265625,0.0,336.3022155761719,17232.490234375,6.518096446990967
푸시 경과 시간,433520.0,368.8277282714844,909.9959716796875,0.0,368.854736328125,17354.712890625,11.18217658996582
마지막 접촉 경과 시간,433520.0,415.39447021484375,814.1869506835938,0.0,368.854736328125,17354.712890625,11.328794479370117
발송 간격 표준편차,433520.0,2.744096040725708,55.962162017822266,0.0,0.0,11154.64453125,84.27153015136719
유저 오픈율(30일 내),433520.0,0.04260093346238136,0.194126695394516,0.0,0.0,1.0,4.512917518615723
유저 클릭율(30일 내),433520.0,0.02361183427274227,0.14297789335250854,0.0,0.0,1.0,6.234504699707031
유저 오픈 횟수(30일 내),433520.0,0.08827966451644897,0.570044755935669,0.0,0.0,29.0,16.04122543334961
주제 신선도,433520.0,0.4192126393318176,0.05949104577302933,0.0,0.41921260952949524,0.755281388759613,-1.3030740022659302
주제 노출 수(7일),433520.0,0.07767346501350403,0.3727848529815674,0.0,0.0,11.0,7.7448344230651855
주제 경과 시간,433520.0,89.0337142944336,720.1279907226562,0.0,0.0,17354.712890625,13.276569366455078
성공 경로 일치도,433520.0,0.005133173894137144,0.07063400000333786,0.0,0.0,1.0,13.858726501464844
성공 캠페인 유사도,433520.0,0.01927950605750084,0.12901130318641663,0.0,0.0,1.0,7.223484516143799
채널별 특정 주제 캠페인 오픈율(30일 내),433520.0,0.24286726117134094,0.20336663722991943,0.0,0.18985792994499207,0.9998999834060669,3.0449750423431396
캠페인 지속 시간(평균),433520.0,0.07913634926080704,0.6584039926528931,0.0014238102594390512,0.021439658477902412,41.56501770019531,27.812286376953125
불만 접수 경과 시간(평균),433520.0,0.2624477446079254,48.7905158996582,0.0,0.0,15285.7822265625,235.09262084960938
가입 기간(첫 구매 경과),433520.0,60.750038146972656,584.762939453125,0.0,0.0,11803.0029296875,12.11774730682373
마지막 클릭 경과 시간(평균),433520.0,87.197998046875,745.2855834960938,0.0,0.0,17154.853515625,11.973421096801758
마지막 오픈 경과 시간(평균),433520.0,151.5882568359375,987.9754638671875,0.0,0.0,17235.375,9.698493003845215
구독 취소 경과 시간(평균),433520.0,9.04399299621582,212.1757354736328,0.0,0.0,17109.65234375,50.593379974365234
공휴일 여부,433520.0,0.0,0.0,0.0,0.0,0.0,0.0
총 캠페인 수,433520.0,0.2394791474441779,0.7184224482053786,0.0,0.0,14.0,4.944387090003179
총 메시지 수신 수,433520.0,0.2939126222550286,1.1131073895045955,0.0,0.0,48.0,12.105526330432253
총 구매 횟수,433520.0,0.17855923602140616,0.8070087077859875,0.0,0.0,48.0,17.199862873454723
메시지 수신: 기타,433520.0,0.8662829857907363,0.3403484119565874,0.0,1.0,1.0,-2.1524100759088762
메시지 수신: 데스크탑,433520.0,0.08437673002398967,0.2779522902660877,0.0,0.0,1.0,2.990622505914567
메시지 수신: 패블릿,433520.0,0.003926001107215353,0.06253476347672152,0.0,0.0,1.0,15.86561649583777
메시지 수신: 스마트폰,433520.0,0.043566617457095405,0.20412903619400222,0.0,0.0,1.0,4.4720290339034845
메시지 수신: 태블릿,433520.0,0.0018476656209632774,0.042944801860751836,0.0,0.0,1.0,23.199763928567595
발송 채널: 이메일,433520.0,0.6127975641262225,0.48711113398722417,0.0,1.0,1.0,-0.46313079968137255
발송 채널: 모바일 푸시,433520.0,0.38709402103709173,0.4870860162077247,0.0,0.0,1.0,0.4635998410486085
발송 채널: 웹 푸시,433520.0,0.00010841483668573538,0.010411692127735236,0.0,0.0,1.0,96.02548466464948
이메일 계정: 지메일,433520.0,0.09975548994279387,0.29967405513503653,0.0,0.0,1.0,2.671211269005676
이메일 계정: Mail.ru,433520.0,0.33458663960140245,0.471846303114237,0.0,0.0,1.0,0.7011356131346926
이메일 계정: 기타,433520.0,0.5656578704558036,0.49567086940741545,0.0,1.0,1.0,-0.2649264962515929
채널 캠페인 유형: 전체 유저 발송,433520.0,0.6700844251706957,0.47018272858578425,0.0,1.0,1.0,-0.7234855706117783
채널 캠페인 유형: 기타 거래 발송,433520.0,0.10530771360029526,0.30694985973218203,0.0,0.0,1.0,2.5717171372862793
채널 캠페인 유형: 특정 유저행동 발송,433520.0,0.22460786122900905,0.41732430031905465,0.0,0.0,1.0,1.3198052884035674
캠페인 채널: 이메일,433520.0,0.3889163129728732,0.4875048335028914,0.0,0.0,1.0,0.45572553077882294
캠페인 채널: 모바일 푸시,433520.0,0.38647582579811773,0.48694230543215006,0.0,0.0,1.0,0.4662757647876469
캠페인 채널: 멀티채널,433520.0,0.22460786122900905,0.41732430031905465,0.0,0.0,1.0,1.3198052884035674
캠페인 채널: SMS,433520.0,0.0,0.0,0.0,0.0,0.0,0.0
캠페인 주제: 이벤트,433520.0,0.0014347665620963277,0.03785117318976878,0.0,0.0,1.0,26.343570965603963
캠페인 주제: 생일 축하,433520.0,8.304115150396753e-05,0.00911232391909835,0.0,0.0,1.0,109.7237696142289
캠페인 주제: 리뷰 요청,433520.0,2.5373685181767852e-05,0.005037171814219114,0.0,0.0,1.0,198.51494106105355
캠페인 주제: 연관 상품 추천,433520.0,0.0001222550286030633,0.011056236442964136,0.0,0.0,1.0,90.42499293415288
캠페인 주제: 기타,433520.0,0.3299178815279572,0.47018356300905634,0.0,0.0,1.0,0.7234744747075467
캠페인 주제: 할인 정보,433520.0,0.6616995755674479,0.473131867056619,0.0,1.0,1.0,-0.6835317289499981
채널 메세지 유형: 전체 유저 발송,433520.0,0.6698606754013655,0.4702636080685652,0.0,1.0,1.0,-0.7224095427558449
채널 메세지 유형: 기타 거래 발송,433520.0,0.10553146336962539,0.3072373534403473,0.0,0.0,1.0,2.5678541496448872
채널 메세지 유형: 특정 유저행동 발송,433520.0,0.22460786122900905,0.41732430031905465,0.0,0.0,1.0,1.3198052884035674
메시지 클릭 여부,433520.0,0.032762040966968074,0.1780133779665818,0.0,0.0,1.0,5.249494391202799
메시지 불만 접수 여부,433520.0,7.842775419819154e-05,0.00885560749926209,0.0,0.0,1.0,112.90560893421102
메시지 오픈 여부,433520.0,0.05434582026204097,0.22669907505111186,0.0,0.0,1.0,3.931698756395529
메시지 구독 취소 여부,433520.0,0.0005812880605277727,0.02410293560540944,0.0,0.0,1.0,41.44067960377045
