feature,feature_kor,mean_abs_shap,effect(high-low),direction
ctx_tc_open_rate_30d,채널별 특정 주제 캠페인 오픈율(30일 내),0.04264871025495798,0.2560179097828922,+
feat_rtb_hazard,재구매 준비도,0.025765783584230817,0.008351872505879581,+
platform.,메시지 수신: 기타,0.025201530331208984,-0.12709311473525067,-
feat_last_email_hours,이메일 경과 시간,0.02297549668256834,0.03600616487764568,+
message_type_transactional,채널 메세지 유형: 기타 거래 발송,0.013099435264428822,0.06591521319279929,+
feat_last_mobile_push_hours,푸시 경과 시간,0.007740406098689694,0.007795580126641436,+
total_purchases,총 구매 횟수,0.007091499008249189,-0.039333872726033975,-
camp_channelmobile_push,캠페인 채널: 모바일 푸시,0.004376997641352418,-0.009257510061412615,-
camp_channelemail,캠페인 채널: 이메일,0.004354058371423693,0.00882641987553508,+
email_provider_other,이메일 계정: 기타,0.0042150497767016026,0.008792540543034268,+
camp_campaign_typetransactional,채널 캠페인 유형: 기타 거래 발송,0.0030332555667591894,0.01543051834660756,+
message_type_bulk,채널 메세지 유형: 전체 유저 발송,0.002838292495882086,-0.0065673250742766765,-
feat_hour_shift,선호 시간대 일치도,0.002728436593852932,0.009114638530946639,+
camp_campaign_typetrigger,채널 캠페인 유형: 특정 유저행동 발송,0.002727439796432318,-0.008082173443017,-
feat_dow_shift,선호 요일 일치도,0.002205326850863921,0.002887210099631537,+
feat_payday_bump,급여일 근접도,0.0021996524888303385,0.0033474236018851454,+
email_provider_gmail.com,이메일 계정: 지메일,0.002057676460689417,-0.011009129897518292,-
days_since_last_purchase,마지막 구매 경과일,0.0019448004197074788,0.0006500817794248411,+
platform.smartphone,메시지 수신: 스마트폰,0.0019057856764452372,0.02671395239286207,+
platform.desktop,메시지 수신: 데스크탑,0.001221930793925677,0.008751503675143584,+
feat_eoq_bump,분기 말 근접도,0.0011986879962388813,-0.00037177178976701954,-
camp_channelmultichannel,캠페인 채널: 멀티채널,0.001120975615622569,-0.0033083854752372025,-
feat_postbuy_refrac,구매 후 불응기,0.001081847046328703,0.0006664583860992127,+
avg_time_since_first_purchase,가입 기간(첫 구매 경과),0.0010665078647453445,0.0010665078647453445,+
u_click_rate_30d,유저 클릭율(30일 내),0.001044586213016809,0.0005351946714848158,+
camp_campaign_typebulk,채널 캠페인 유형: 전체 유저 발송,0.00095120390269626,-0.002053333004438028,-
avg_time_since_last_click,마지막 클릭 경과 시간(평균),0.0009352852742642451,-0.0006932070793061744,-
camp_topicother,캠페인 주제: 기타,0.0008572557110548441,0.0019354619658625274,+
feat_fatigue,마케팅 피로도,0.0008373595830923668,0.0011315328287633882,+
cal_is_weekend,주말 여부,0.0008317122297761678,-0.004458091640217905,-
channel_mobile_push,발송 채널: 모바일 푸시,0.0008164822184088652,-0.0009303341799578458,-
avg_time_since_last_open,마지막 오픈 경과 시간(평균),0.0008077791009586094,0.005702292501183789,+
channel_email,발송 채널: 이메일,0.000769283163759756,0.0015893307784242189,+
topic_t_since_hours,주제 경과 시간,0.0006938591463930808,-0.005203788894808407,-
camp_topicsale.out,캠페인 주제: 할인 정보,0.0005076492199811982,-0.000846704643006327,-
platform.phablet,메시지 수신: 패블릿,0.0004934078536737136,0.10573025435865291,+
u_cadence_std_30d,발송 간격 표준편차,0.0003905962580961805,-0.00019569415071916618,-
prev_is_clicked,메시지 클릭 여부,0.0003281118987650305,0.006231538780998881,+
u_open_rate_30d,유저 오픈율(30일 내),0.0003259539587963539,0.00017345761413311924,+
cal_week_of_month,주차 정보,0.00030784363297823745,0.0004752259062271231,+
avg_campaign_duration,캠페인 지속 시간(평균),0.000295481502680843,-0.00015030606916805036,-
email_provider_mail.ru,이메일 계정: Mail.ru,0.00027308429172813914,-0.0005696809142655858,-
topic_N7,주제 노출 수(7일),0.00027025974649253257,-9.887146350737005e-05,-
feat_like_last_success,성공 캠페인 유사도,0.00023835043101765453,0.00014226043380072696,+
total_campaigns,총 캠페인 수,0.00022565303038570245,0.00043601830202094795,+
message_type_trigger,채널 메세지 유형: 특정 유저행동 발송,0.00022388117656020823,-0.000644215135884221,-
feat_last_any_hours,마지막 접촉 경과 시간,0.00021496931913418823,-0.0003379601815139393,-
feat_topic_novelty,주제 신선도,0.00015069614765294775,-7.672699232510467e-05,-
total_messages,총 메시지 수신 수,0.00013401152022683594,0.00022753095756131817,+
prev_is_opened,메시지 오픈 여부,7.191054816303426e-05,-0.0002057394794260063,-
u_open_cnt_30d,유저 오픈 횟수(30일 내),5.8611789142081276e-05,-1.0576108841798035e-05,-
avg_time_since_unsubscribe,구독 취소 경과 시간(평균),5.552845622531129e-05,-3.4249528246280116e-05,-
feat_path_align,성공 경로 일치도,1.1135239358571401e-05,-1.1135239358571401e-05,-
camp_channelsms,캠페인 채널: SMS,0.0,0.0,0
camp_topicevent,캠페인 주제: 이벤트,0.0,0.0,0
avg_time_since_complaint,불만 접수 경과 시간(평균),0.0,0.0,0
camp_topicoffer.after.purchase,캠페인 주제: 연관 상품 추천,0.0,0.0,0
camp_topicleave.review,캠페인 주제: 리뷰 요청,0.0,0.0,0
camp_topichappy.birthday,캠페인 주제: 생일 축하,0.0,0.0,0
channel_web_push,발송 채널: 웹 푸시,0.0,0.0,0
is_holiday,공휴일 여부,0.0,0.0,0
prev_is_unsubscribed,메시지 구독 취소 여부,0.0,0.0,0
platform.tablet,메시지 수신: 태블릿,0.0,0.0,0
prev_is_complained,메시지 불만 접수 여부,0.0,0.0,0
